Naslovi,Ocene,Število glasov,Leto izdaje,Žanr
Kaznilnica odrešitve,9.3, 3.1M,1994,Drama 
Boter,9.2, 2.2M,1972,Crime Drama 
Vitez teme,9.1, 3.1M,2008,Action Crime Drama 
"Boter, II. del",9.0, 1.4M,1974,Crime Drama 
12 jeznih mož,9.0, 944K,1957,Crime Drama 
Gospodar prstanov: Kraljeva vrnitev,9.0, 2.1M,2003,Adventure Drama Fantasy 
Schindlerjev seznam,9.0, 1.5M,1993,Biography Drama History 
Šund,8.8, 2.4M,1994,Crime Drama 
Gospodar prstanov: Bratovscina prstana,8.9, 2.1M,2001,Adventure Drama Fantasy 
"Dober, grd, hudoben",8.8, 865K,1966,Adventure Drama Western 
Forrest Gump,8.8, 2.4M,1994,Drama Romance 
Gospodar prstanov: stolpa,8.8, 1.9M,2002,Adventure Drama Fantasy 
Klub golih pesti,8.8, 2.5M,1999,Crime Drama Thriller 
Izvor,8.8, 2.7M,2010,Action Adventure Sci-Fi 
Star Wars: Episode V - The Empire Strikes Back,8.7, 1.5M,1980,Action Adventure Fantasy 
Matrica,8.7, 2.2M,1999,Action Sci-Fi 
Dobri fantje,8.7, 1.3M,1990,Biography Crime Drama 
Medzvezdje,8.7, 2.4M,2014,Adventure Drama Sci-Fi 
Let nad kukavičjim gnezdom,8.7, 1.1M,1975,Drama 
Sedem,8.6, 1.9M,1995,Crime Drama Mystery 
Cudovito zivljenje,8.6, 533K,1946,Drama Family Fantasy 
Ko jagenjčki obmolknejo,8.6, 1.7M,1991,Crime Drama Horror 
Sedem samurajev,8.6, 390K,1954,Action Drama 
Reševanje vojaka Ryana,8.6, 1.6M,1998,Drama War 
Zelena milja,8.6, 1.5M,1999,Crime Drama Fantasy 
Cidade de Deus,8.6, 847K,2002,Crime Drama 
Življenje je lepo,8.6, 788K,1997,Comedy Drama Romance 
Terminator 2 - Sodni dan,8.6, 1.2M,1991,Action Adventure Sci-Fi 
Vojna zvezd: Epizoda IV - Novo upanje,8.6, 1.5M,1977,Action Adventure Fantasy 
Vrnitev v prihodnost,8.5, 1.4M,1985,Adventure Comedy Sci-Fi 
Čudežno potovanje,8.6, 926K,2001,Animation Adventure Family 
Pianist,8.5, 980K,2002,Biography Drama Music 
Gladiator,8.5, 1.8M,2000,Action Adventure Drama 
Parazit,8.5, 1.1M,2019,Drama Thriller 
Psiho,8.5, 761K,1960,Drama Horror Mystery 
Levji kralj,8.5, 1.2M,1994,Animation Adventure Drama 
Hotaru no haka,8.5, 359K,1988,Animation Drama War 
Dvojna igra,8.5, 1.5M,2006,Crime Drama Thriller 
Ritem norosti,8.5, 1.1M,2014,Drama Music 
Seppuku,8.6, 82K,1962,Drama Mystery 
Skrivnostna sled,8.5, 1.5M,2006,Drama Mystery Sci-Fi 
Generacija X,8.5, 1.2M,1998,Crime Drama 
Léon,8.5, 1.3M,1994,Action Crime Drama 
Spider-Man: Across the Spider-Verse,8.5, 475K,2023,Animation Action Adventure 
Casablanca,8.5, 638K,1942,Drama Romance War 
Novi kino Paradiz,8.5, 306K,1988,Drama Romance 
Osumljenih pet,8.5, 1.2M,1995,Crime Drama Mystery 
Prijatelja,8.5, 991K,2011,Comedy Drama 
Osmi potnik,8.5, 1M,1979,Horror Sci-Fi 
Moderni časi,8.5, 276K,1936,Comedy Drama Romance 
Dvoriščno okno,8.5, 553K,1954,Drama Mystery Thriller 
Django brez okovov,8.5, 1.8M,2012,Drama Western 
